time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-22T05:40:03.501Z,-62.2794,-58.2818,10,4.9,mb,,69,0.183,0.61,us,us6000cb5t,2020-10-22T06:01:48.040Z,"South Shetland Islands",earthquake,2.4,1.9,0.084,46,reviewed,us,us
2020-10-22T04:21:15.553Z,-7.1265,129.6678,189.09,4.5,mb,,148,1.827,0.68,us,us6000cb50,2020-10-22T04:33:56.040Z,"Kepulauan Babar, Indonesia",earthquake,9.6,9.2,0.204,7,reviewed,us,us
2020-10-22T03:03:41.204Z,31.938,104.2457,35.85,5.2,mb,,38,4.796,0.57,us,us6000cb4i,2020-10-27T04:41:44.090Z,"48 km WNW of Jiangyou, China",earthquake,8.3,5,0.033,300,reviewed,us,us
2020-10-22T02:31:43.124Z,52.9755,-35.4944,10,4.7,mb,,119,9.811,0.47,us,us6000cb47,2020-10-27T01:52:32.040Z,"Reykjanes Ridge",earthquake,11.2,1.9,0.044,159,reviewed,us,us
2020-10-22T01:57:59.047Z,-10.4327,160.8554,43.73,4.8,mb,,71,1.332,0.7,us,us6000cb3x,2020-10-27T01:26:20.040Z,"116 km W of Kirakira, Solomon Islands",earthquake,8.4,7.5,0.071,62,reviewed,us,us
2020-10-21T23:00:54.496Z,37.3249,20.5069,6.58,5.2,mww,,25,3.178,1.09,us,us6000cb28,2020-10-22T09:44:58.782Z,"52 km SSW of Lithakiá, Greece",earthquake,6.6,4.4,0.058,29,reviewed,us,us
2020-10-21T22:41:43.185Z,18.8153,147.2508,10,4.9,mb,,84,3.819,0.65,us,us6000cb23,2020-10-21T23:24:58.040Z,"Mariana Islands region",earthquake,8.7,1.9,0.062,80,reviewed,us,us
2020-10-21T20:56:39.984Z,-34.6877,179.2434,157.8,4.6,mb,,205,2.967,0.92,us,us6000cb06,2020-10-21T21:18:12.040Z,"south of the Kermadec Islands",earthquake,11.6,10.4,0.136,16,reviewed,us,us
2020-10-21T20:51:18.849Z,14.0796,-92.3091,41.88,4.5,mb,,211,0.741,0.72,us,us6000cb02,2020-10-22T21:24:54.040Z,"48 km WSW of Champerico, Guatemala",earthquake,11.1,13.8,0.063,73,reviewed,us,us
2020-10-21T20:23:21.308Z,-6.057,149.5443,64.62,4.9,mb,,60,3.2,0.62,us,us6000caza,2020-10-21T21:07:56.574Z,"16 km N of Kandrian, Papua New Guinea",earthquake,7.3,5.4,0.065,74,reviewed,us,us
2020-10-21T18:59:44.630Z,54.1291,-159.9659,10,4.6,mb,,237,0.736,1.11,us,us6000cawx,2020-10-27T13:47:33.040Z,"138 km SSE of Sand Point, Alaska",earthquake,5.6,2,0.113,23,reviewed,us,us
2020-10-21T17:06:06.678Z,0.8661,122.9162,313.9,4.5,mb,,68,1.9,1.01,us,us6000cat8,2020-10-21T17:23:36.040Z,"39 km NNW of Gorontalo, Indonesia",earthquake,7.9,4.1,0.078,48,reviewed,us,us
2020-10-21T15:20:04.967Z,25.6157,141.4245,156.75,4.7,mb,,106,9.201,0.97,us,us6000caq8,2020-10-21T15:38:44.040Z,"Volcano Islands, Japan region",earthquake,10.5,7.3,0.037,218,reviewed,us,us
2020-10-21T15:17:53.342Z,-3.4444,100.294,10,4.8,mb,,182,2.807,0.87,us,us6000capt,2020-10-21T20:59:44.040Z,"196 km SW of Sungai Penuh, Indonesia",earthquake,9,1.9,0.081,47,reviewed,us,us
2020-10-21T14:35:13.710Z,-3.2469,100.5198,37.68,4.9,mb,,64,2.67,0.78,us,us6000canu,2020-10-26T13:15:43.040Z,"163 km SW of Sungai Penuh, Indonesia",earthquake,7,3.3,0.063,80,reviewed,us,us
2020-10-21T13:12:37.599Z,33.3484,90.2661,10,4.8,mb,,60,3.707,0.64,us,us6000camh,2020-10-26T14:16:24.040Z,"267 km NW of Nagqu, China",earthquake,8.3,1.9,0.049,128,reviewed,us,us
2020-10-21T12:45:22.801Z,12.3764,143.8063,47.77,4.8,mb,,61,1.589,0.58,us,us6000camg,2020-10-26T11:05:42.732Z,"135 km SW of Merizo Village, Guam",earthquake,4.9,8.1,0.038,214,reviewed,us,us
2020-10-21T12:32:41.532Z,54.5073,-159.6943,26.43,4.7,mb,,157,0.33,0.78,us,us6000cam4,2020-10-24T16:21:13.040Z,"105 km SSE of Sand Point, Alaska",earthquake,6.9,5.9,0.052,113,reviewed,us,us
