year,mon,dy,hr,minutes,seconds,lon,lat,dep,mag,evid
2012,2,17,17,33,42.96,121.5935,23.6770,21.43,4.31,14171733.P12
2012,2,17,18,26,14.01,122.1552,25.1547,145.90,3.16,14171826.P12
2012,2,18,0,53,28.31,121.3807,21.7320,138.61,3.35,14180053.P12
2012,2,18,6,35,49.78,122.5932,24.9343,7.96,3.23,14180635.P12
2012,2,18,6,39,28.57,122.5330,24.9400,10.35,3.57,14180639.P12
2012,2,18,11,49,33.36,122.3477,24.5808,16.02,3.28,14181149.P12
2012,2,18,23,47,9.64,121.4958,24.3635,6.09,3.04,14182346.P12
2012,2,19,5,59,6.21,121.7695,24.5973,63.07,3.09,14190559.P12
2012,2,19,11,19,54.93,121.5370,24.8583,84.30,3.01,14191120.P12
2012,2,19,18,59,44.24,121.9583,24.8275,8.38,3.67,14191859.P12
2012,2,20,8,36,52.67,120.4365,23.3062,7.87,3.07,14200836.P12
2012,2,20,18,29,44.05,120.9855,23.9938,25.01,3.49,14201829.P12
2012,2,21,21,51,46.92,121.8898,25.3765,196.75,3.22,14212152.P12
2012,2,22,7,4,54.00,121.7315,21.4970,108.81,3.82,14220704.P12
2012,2,22,16,7,4.27,121.9517,23.8975,39.00,3.46,14221607.P12
2012,2,23,3,30,34.12,121.6285,24.0057,9.85,3.79,14230328.P12
2012,2,23,5,1,59.12,121.6353,23.4905,48.19,4.19,14230500.P12
2012,2,23,5,49,48.70,121.6193,24.0187,9.10,3.58,14230548.P12
2012,2,23,8,40,55.77,122.2657,24.5153,63.99,3.42,14230840.P12
2012,2,23,15,21,29.77,120.3472,22.0575,47.84,3.54,14231521.P12
2012,2,23,16,28,13.43,121.4660,21.0058,130.57,3.18,14231628.P12
2012,2,23,18,21,58.19,122.4495,23.9752,27.34,3.22,14231822.P12
2012,2,24,0,32,0.42,122.5150,24.0170,45.50,3.20,14240031.P12
2012,2,24,4,10,35.21,121.6055,24.0217,9.94,3.73,14240410.P12
2012,2,24,4,10,44.55,121.6610,24.0055,1.38,3.63,14240410.112
2012,2,24,4,11,5.34,121.6335,24.0447,9.86,3.01,14240410.212
2012,2,24,4,13,0.51,121.5888,24.0363,3.92,3.58,14240412.P12
2012,2,24,4,13,29.66,121.6015,24.0250,11.01,3.11,14240412.112
2012,2,24,4,15,42.23,121.3863,22.2117,13.90,3.29,14240415.112
2012,2,24,4,18,30.94,121.6195,24.0192,9.41,3.02,14240417.P12
2012,2,24,9,51,19.42,121.6132,24.0322,10.09,3.13,14240951.P12
2012,2,24,15,20,2.79,122.0990,24.2687,23.46,3.19,14241520.P12
2012,2,24,22,3,58.67,121.7597,24.6120,65.77,3.06,14242203.P12
2012,2,24,23,11,38.04,121.0543,23.2163,5.95,3.08,14242310.P12
2012,2,26,1,1,8.53,122.5847,24.8887,1.36,3.18,14260100.P12
2012,2,26,2,35,0.43,120.7547,22.7523,26.31,6.35,14260234.P12
2012,2,26,2,38,17.28,120.7657,22.7305,23.13,3.55,14260234.312
2012,2,26,2,39,38.69,120.7403,22.7133,6.35,3.17,14260234.112
2012,2,26,2,41,20.99,120.7443,22.7255,23.72,3.92,14260240.P12
2012,2,26,2,43,40.63,120.7765,22.7338,25.05,3.69,14260240.112
2012,2,26,2,43,55.53,120.7700,22.7278,24.69,3.25,14260240.412
2012,2,26,2,45,31.69,120.7532,22.7417,25.76,3.01,14260240.612
2012,2,26,2,46,33.39,120.7458,22.7287,24.22,3.17,14260245.P12
2012,2,26,5,7,5.49,121.2985,23.0047,16.78,3.04,14260506.P12
