stlo:  120.6328
stla:   22.6119
stel:    139.00
     T           E           N           Z
 3.3900e+00 -2.3000e+02 -2.6110e+03  2.5900e+02
 3.4000e+00 -2.6000e+02 -2.5740e+03  3.1800e+02
 3.4100e+00 -2.8500e+02 -2.5640e+03  3.6700e+02
 3.4200e+00 -2.6200e+02 -2.5340e+03  3.7800e+02
 3.4300e+00 -1.9200e+02 -2.5010e+03  4.2200e+02
 3.4400e+00 -1.9100e+02 -2.4740e+03  4.9300e+02
 3.4500e+00 -1.8000e+02 -2.4600e+03  5.6900e+02
 3.4600e+00 -1.5100e+02 -2.4550e+03  6.2300e+02
 3.4700e+00 -1.5900e+02 -2.4650e+03  6.2400e+02
 3.4800e+00 -1.5000e+02 -2.4410e+03  6.5000e+02
 3.4900e+00 -1.0100e+02 -2.3860e+03  7.2100e+02
 3.5000e+00 -4.2000e+01 -2.4280e+03  7.5700e+02
 3.5100e+00 -4.3000e+01 -2.4430e+03  7.8200e+02
 3.5200e+00 -5.3000e+01 -2.4110e+03  8.1600e+02
 3.5300e+00 -3.2000e+01 -2.3800e+03  8.8700e+02
 3.5400e+00  2.6000e+01 -2.3720e+03  9.3600e+02
 3.5500e+00  5.8000e+01 -2.3790e+03  9.5800e+02
 3.5600e+00  5.9000e+01 -2.3490e+03  9.8600e+02
 3.5700e+00  8.6000e+01 -2.3760e+03  9.8600e+02
 3.5800e+00  6.1000e+01 -2.3980e+03  1.0250e+03
 3.5900e+00  4.4000e+01 -2.3540e+03  1.0380e+03
 3.6000e+00  7.2000e+01 -2.2970e+03  1.0880e+03
 3.6100e+00  9.5000e+01 -2.3040e+03  1.1480e+03
 3.6200e+00  9.3000e+01 -2.3330e+03  1.1280e+03
 3.6300e+00  3.9000e+01 -2.3000e+03  1.1640e+03
 3.6400e+00  3.9000e+01 -2.2750e+03  1.1720e+03
 3.6500e+00  6.1000e+01 -2.2370e+03  1.1810e+03
 3.6600e+00  2.7000e+01 -2.1830e+03  1.2710e+03
 3.6700e+00  1.0000e+01 -2.1810e+03  1.3470e+03
 3.6800e+00 -8.0000e+00 -2.2140e+03  1.3910e+03
 3.6900e+00 -3.7000e+01 -2.2080e+03  1.4240e+03
 3.7000e+00 -3.6000e+01 -2.1610e+03  1.4270e+03
 3.7100e+00 -2.5000e+01 -2.1130e+03  1.4700e+03
 3.7200e+00 -2.4000e+01 -2.1300e+03  1.5400e+03
 3.7300e+00 -5.6000e+01 -2.1600e+03  1.5660e+03
 3.7400e+00 -4.1000e+01 -2.1260e+03  1.6210e+03
 3.7500e+00 -1.9000e+01 -2.1240e+03  1.6370e+03
 3.7600e+00 -9.5000e+01 -2.1170e+03  1.6550e+03
 3.7700e+00 -1.1900e+02 -2.0760e+03  1.7270e+03
 3.7800e+00 -9.2000e+01 -2.0810e+03  1.7760e+03
 3.7900e+00 -1.1000e+02 -2.1020e+03  1.8110e+03
 3.8000e+00 -1.3400e+02 -2.0660e+03  1.8450e+03
